Index,Question,Response
၁,ဘောလုံး အားကစား ဆိုတာဘာလဲ။,ဘောလုံး အားကစားဆိုတာ တစ်သင်းကို ကစားသမား ၁၁ ယောက်စိနဲ့ နှစ်ဖက်အသင်း ယှဥ်ပြိုင်ကစားရပြီး ပြိုင်ဘက် ဂိုးပေါက်သို့ ဘောလုံးကို ၀င်အောင်သွင်းရတဲ့ ကစားနည်းဖြစ်ပြီး ကမ္ဘာ့အကျော်ကြားဆုံး အားကစား တစ်ခုဖြစ်ပါတယ်။
၂,ဘောလုံးအားကစားနည်း ဘယ်ကစလဲ။,ဘောလုံးအားကစားနည်းကို အင်္ဂလန်နိုင်ငံမှာ ၁၉ ရာစုလယ်ပိုင်းက စတင်ခဲ့ပြီး ယနေ့ကမ္ဘာတစ်ဝှမ်းလုံးတွင် အထူးအားပေးကြပါတယ်။
၃,ဘောလုံး အားကစားနည်း အကြောင်း ပြောပြပါ။,ဘောလုံးအားကစားနည်းမှာ ကစားသမား ၁၁ ယောက်ပါသော အသင်းနှစ်သင်း အပြိုင်အဆိုင်ကစားရပြီး ပွဲကစားချိန် အတွင်း ပြိုင်ဘက်အသင်းကို ဂိုးပိုသွင်းနိုင်သော အသင်းက အနိုင်ရရှိပါတယ်။
၄,လူကျွံဘော (Offside) ဆိုတာဘာလဲ။,လူကျွံဘောဆိုတာ ကစားသမားတစ်ဦးဟာ ပြိုင်ဘက် အသင်းက နောက်ဆုံး ကစားသမားထက် ကျော်ပြီး ရှေ့မှာရှိနေစဉ် ဘောလုံးကို လက်ခံ ရယူသွားနိုင် ခြင်းကိုဆိုလိုတာပါ။ ကိုယ်အသင်းက လူကျွံဘော ဖြစ်သွားတဲ့ အခါမှာ ပြိုင်ဘက်အသင်းက အဆိုပါ လူကျွံဘော ဖြစ်တဲ့နေရာကနေ ထပ်ဆင့် တည်ကန်ဘော (Indirect Free Kick) ရရှိပါတယ်။
၅, ဂိုးလွန်ဘော (Goal Kick) ဆိုတာဘာလဲ။,ဂိုးလွန်ဘော (Goal Kick) ဆိုတာ ဂိုးသွင်းယူရန် ကြိုးစားနေတဲ့ အသင်းရဲ့ကစားသမားနဲ့ နောက်ဆုံးထိပြီး ဂိုးပေါက်ကို မ၀င်ဘဲ ပြိုင်ဘက်အသင်းရဲ့ ဂိုးစည်းကို ကျော်သွားသော အခြေအနေကို ဆိုလိုပါတယ်။
၆, ထောင့်ကန်ဘော (Corner Kick) ဆိုတာဘာလဲ။,ထောင့်ကန်ဘော (Corner Kick) ဆိုတာ ဘောလုံးက ခံစစ်ကစားနေရသော အသင်းက ကစားသမားနဲ့ နောက်ဆုံး ထိပြီး ဂိုးလွန်ဘော ဖြစ်သွားသော အခါ တိုက်စစ်ဆင်တဲ့ အသင်းက ကွင်းရဲ့ ထောင့်ကနေ စတင်ပြီး ကန်ရတဲ့ အခြေအနေ ဖြစ်ပါတယ်။
၇, အလွတ်တည်ကန်ဘော (Direct Free Kick) ဆိုတာဘာလဲ။,အလွတ်တည်ကန်ဘောဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area ထိပ်နားမှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ ကန်သွင်းခွင့် ရသောအခွင့်အရေးဖြစ်ပြီး ပြိုင်ဘက်နောက်တန်းများက ကန်သွင်းမှုကို ပိတ်ဆို့ ကာကွယ်နိုင်ပါတယ်။
၈, ထပ်ဆင့် တည်ကန်ဘော (Indirect Free Kick) ဆိုတာဘာလဲ။,ထပ်ဆင့် တည်ကန်ဘောဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area နဲ့ ၀ေးတဲ့ အတန်အသင့်နေရာ မှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ သို့မဟုတ် လူကျွံသွားတဲ့ အခါ ဘောလုံးကို ကိုယ်အသင်းက ကန်ခွင့်ရတဲ့ နေရာတစ်ခုကနေ စတင်ပြီး ကန်ရသောအခြေအနေ ဖြစ်ပြီး ဂိုးထဲသို့ တိုက်ရိုက်ကန်သွင်းခွင့်မရဘဲ ပြိုင်ဘက်နောက်တန်းများက ကန်သွင်းမှုကို ပိတ်ဆို့ ကာကွယ်နိုင်ပါတယ်။
၉,ပင်နယ်တီ (Penalty) ဆိုတာဘာလဲ။,ပင်နယ်တီဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area ထဲမှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ ကန်သွင်းခွင့် ရသောအခွင့်အရေးဖြစ်ပြီး ပြိုင်ဘက် အသင်းမှာ ဂိုးသမားက လွဲရင် အခြားကစားသမားများ ကာကွယ်ထားခြင်းမရှိဘဲ ဂိုး Area ထိပ်ကနေ ကန်သွင်းခွင့် ရတဲ့ အခြေအနေ ဖြစ်ပါတယ်။
၁၀, လက်ပစ်ဘော (Handball) ဆိုတာဘာလဲ။,လက်ပစ်ဘောဆိုတာ ဘောလုံးက ပြိုင်ဘက်အသင်းရဲ့ ကစားသမားနဲ့ နောက်ဆုံးထိပြီး ဘေးစည်းကိုထွက်သွားတဲ့ အခါမှာ တစ်ဖက်အသင်းက ဘောလုံးကို ထွက်သွားတဲ့ ဘေးစည်းနားကနေ လက်နဲ့ မြှောက်တင်ပြီး စတင်ကစားခွင့်ရသော အခြေအနေ ဖြစ်ပါတယ်။
၁၁, အါကတ် (Yellow Card) ဆိုတာဘာလဲ။,အ၀ါကတ်ဆိုတာက ကစားသမားတစ်ယောက်က စောဒက တက်လွန်းခြင်း၊ ပြစ်ဒဏ်ဘော ကျူးလွန်ခြင်း၊ အင်းကျီချွတ် အောင်ပွဲခံခြင်း၊ အချိန်ဆွဲခြင်း၊ ဟန်ဆောင်ပြီး တစ်ဖက်အသင်းက ပြစ်ဒဏ်ဘော ဖြစ်အောင်ကျူးလွန်ခြင်း စတဲ့ အခြေအနေတွေမှာ ဒိုင်လူကြီးက သတိပေးတဲ့ အနေနဲ့ ပြသသော ကတ်ဖြစ်ပါတယ်။
၁၂, အနီကတ် (Red Card) ဆိုတာဘာလဲ,အနီကတ်ဆိုတာ ကစားသမားတစ်ယောက်ကို ကစားပွဲအတွင်းမှ ထုတ်ပယ်တဲ့ အခါမှာ ဒိုင်လူကြီးက ပြသသော ကတ်ဖြစ်ပြီး ဆိုးရွားသော ပြစ်ဒဏ်ဘော ကျူးလွန်မှုများ၊ စည်းကမ်းများကို မလိုက်နာမှုများတွင် အနီကတ်ပြလေ့ ရှိပြီး အ၀ါကတ် နှစ်ကြိမ် ပြသခံရပါက အနီကတ် ထိမှာ ဖြစ်ပါတယ်။
